File path,File Name,Test Files Added Date,Number Of People Involved,Number of Modifications,Modification Dates,People involved
numpy/core/tests/test_ufunc.py, test_ufunc.py, 2007-12-04, 39, 217,  2007-12-04 2007-12-15 2007-12-29 2008-04-19 2008-04-20 2008-04-22 2008-05-24 2008-05-25 2008-06-17 2008-06-21 2008-06-22 2008-08-21 2008-08-25 2008-10-20 2008-11-10 2008-11-11 2008-11-14 2009-03-04 2009-03-06 2009-03-09 2011-01-21 2011-04-05 2011-06-16 2011-07-06 2011-06-29 2011-07-01 2011-07-10 2011-07-18 2011-07-26 2011-08-02 2011-08-03 2011-08-19 2011-08-21 2011-08-25 2012-02-06 2012-02-08 2012-05-07 2012-05-20 2012-09-20 2012-09-21 2012-11-07 2013-01-07 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-04-13 2012-12-19 2013-04-17 2013-04-26 2013-04-29 2013-04-18 2013-05-08 2013-05-10 2013-04-03 2013-05-13 2013-07-08 2013-08-11 2012-10-30 2012-11-13 2012-11-14 2012-11-15 2013-04-01 2013-05-22 2013-07-13 2013-07-15 2013-07-27 2013-08-13 2013-08-18 2013-09-27 2013-10-15 2013-11-30 2013-12-02 2014-02-18 2014-03-13 2014-03-23 2014-05-05 2014-06-30 2014-07-27 2014-10-15 2014-10-20 2015-03-09 2015-03-12 2015-03-26 2015-06-12 2015-06-13 2015-06-14 2015-07-05 2015-07-22 2015-12-10 2016-03-11 2016-03-26 2016-09-10 2017-02-08 2017-02-09 2017-02-24 2017-03-25 2016-11-08 2016-11-12 2017-03-14 2017-03-26 2017-04-29 2017-06-30 2017-07-02 2017-07-17 2017-07-26 2017-08-01 2017-03-23 2018-01-01 2018-03-23 2018-03-30 2018-04-04 2018-03-14 2018-04-24 2018-04-29 2018-04-30 2018-06-04 2018-06-07 2018-06-21 2018-05-26 2018-05-28 2018-09-12 2018-09-14 2018-09-19 2018-10-10 2017-12-10 2019-01-09 2019-02-11 2019-02-21 2019-02-25 2019-05-07 2019-05-09 2019-05-11 2019-05-16 2019-05-27 2019-06-28 2019-07-23 2019-07-24 2019-10-30 2019-10-28 2019-11-06 2019-11-11 2019-12-03 2019-12-06 2019-12-20 2019-08-27 2020-01-05 2020-01-06 2020-01-14 2020-01-22 2020-05-11 2020-05-30 2020-06-02 2020-08-11 2020-09-24 2020-11-22 2021-03-11 2021-03-22 2021-04-01 2021-04-04 2021-04-05 2021-04-08 2021-04-30 2021-05-03 2021-05-07 2021-07-19 2021-06-30 2021-08-08 2021-08-09 2021-08-10 2021-08-05 2021-08-25 2021-09-20 2021-05-14 2021-10-19 2021-10-21 2021-11-29 2021-12-03 2021-12-04 2021-12-07 2022-01-04 2022-01-31 2022-02-09 2022-03-17,  Stefan van der Walt Travis Oliphant Jarrod Millman Charles Harris Alan McIntyre David Cournapeau Mark Wiebe Travis E. Oliphant Nathaniel J. Smith Jay Bourque Sebastian Berg Andreas Kloeckner Lars Buitinck Julian Taylor Daniel da Silva Olivier Grisel jaimefrio Jaime Fernandez Blake Griffith Pauli Virtanen Eric Wieser Marten van Kerkwijk Joshua Leahy luz.paz Hameer Abbasi mattip Matti Picus Pierre Glaser Christopher Whelan Raghuveer Devulapalli kai-striega Oleksandr Pavlyk Ralf Gommers Jon Dufresne Warren Weckesser Brian Wignall Sayed Adel Stephannie Jimenez Gacha Ankit Dwivedi
numpy/ma/tests/test_core.py, test_core.py, 2007-12-15, 63, 340,  2007-12-15 2007-12-20 2007-12-21 2008-01-10 2008-01-22 2008-01-23 2008-01-24 2008-01-28 2008-02-01 2008-02-06 2008-02-07 2008-03-18 2008-03-27 2008-04-06 2008-04-07 2008-04-20 2008-04-23 2008-04-30 2008-05-05 2008-05-07 2008-05-09 2008-05-12 2008-05-22 2008-05-26 2008-06-03 2008-06-04 2008-06-07 2008-06-08 2008-06-16 2008-06-17 2008-06-21 2008-07-17 2008-07-18 2008-07-21 2008-07-22 2008-07-28 2008-08-03 2008-08-04 2008-08-08 2008-08-12 2008-08-25 2008-09-05 2008-09-09 2008-09-11 2008-09-13 2008-09-19 2008-09-28 2008-09-29 2008-10-18 2008-11-20 2008-11-21 2008-11-23 2008-11-26 2008-12-01 2008-12-02 2008-12-05 2008-12-22 2008-12-23 2008-12-31 2009-01-04 2009-01-07 2009-01-08 2009-01-09 2009-01-10 2009-01-27 2009-02-07 2009-02-10 2009-02-11 2009-02-23 2009-04-11 2009-05-09 2009-05-10 2009-06-29 2009-07-18 2009-07-22 2009-08-06 2009-08-30 2009-09-16 2009-10-09 2009-11-16 2009-12-07 2009-12-17 2009-12-18 2009-12-19 2010-01-06 2010-01-12 2010-02-07 2010-02-08 2010-02-20 2010-02-21 2010-03-18 2010-03-22 2010-04-27 2010-06-29 2010-09-13 2010-10-11 2010-10-12 2011-01-17 2011-03-07 2011-04-05 2011-06-06 2011-06-29 2011-08-02 2012-02-08 2012-02-18 2012-06-11 2012-10-11 2012-11-14 2012-11-20 2012-11-22 2012-11-23 2013-02-27 2013-03-05 2013-03-27 2013-03-28 2013-04-06 2013-04-13 2013-04-20 2013-06-15 2013-07-11 2013-08-18 2013-10-12 2013-11-12 2013-11-11 2014-01-26 2014-02-12 2014-03-04 2014-02-21 2013-05-29 2014-03-21 2014-04-04 2014-04-10 2014-04-11 2014-05-05 2014-05-10 2014-06-29 2014-07-16 2014-10-18 2014-12-16 2015-01-15 2015-02-18 2015-03-29 2015-03-30 2014-03-05 2015-01-28 2015-02-19 2015-05-07 2013-10-13 2015-06-12 2015-06-05 2015-07-04 2015-08-21 2015-09-24 2015-10-02 2015-07-19 2015-10-08 2015-10-20 2015-10-29 2015-11-07 2015-11-11 2015-11-26 2015-12-01 2015-12-03 2015-12-02 2015-11-25 2015-12-10 2015-12-11 2015-12-30 2016-01-06 2016-01-15 2016-02-08 2016-02-19 2016-02-16 2016-02-14 2016-04-05 2016-04-28 2016-05-22 2016-06-29 2016-06-19 2016-08-30 2016-01-29 2016-09-05 2015-07-27 2016-10-06 2016-10-11 2016-08-08 2016-10-19 2016-11-21 2017-01-17 2017-01-20 2017-01-21 2017-02-10 2017-02-08 2017-02-09 2016-09-19 2017-02-21 2017-02-22 2017-02-23 2017-03-25 2017-04-07 2017-04-19 2017-04-13 2017-05-07 2017-05-09 2017-06-27 2017-06-30 2017-07-01 2017-07-04 2017-07-16 2017-07-18 2017-07-17 2017-08-01 2017-08-13 2017-09-04 2015-07-28 2017-09-09 2017-09-23 2017-09-27 2017-09-28 2017-10-02 2017-10-04 2017-10-05 2017-09-26 2017-11-19 2017-11-28 2017-12-17 2017-12-12 2017-12-28 2018-01-25 2018-03-25 2018-04-04 2018-04-26 2018-01-02 2018-05-26 2018-06-10 2018-05-18 2018-08-13 2018-08-19 2018-09-13 2018-09-19 2018-10-19 2018-10-23 2018-08-11 2018-11-18 2018-12-06 2018-12-16 2019-02-21 2019-07-01 2019-07-28 2019-10-28 2019-12-06 2019-08-27 2020-01-05 2020-01-08 2020-01-22 2020-01-23 2020-03-24 2020-05-14 2020-06-10 2020-06-18 2020-09-02 2020-10-25 2020-11-08 2021-02-04 2021-03-12 2021-03-13 2021-05-10 2021-05-29 2021-05-30 2021-06-27 2021-09-21 2021-09-22 2021-12-11,  Stefan van der Walt pierregm aarchiba Jarrod Millman Alan McIntyre Robert Kern David Cournapeau Travis Oliphant Pauli Virtanen Charles Harris Mark Wiebe rgommers Eric Firing Robert Kende Thomas Robitaille Ondřej Čertík jamestwebber Marten van Kerkwijk Lev Abalkin Janani Sebastian Berg Tim Burgess Nathaniel J. Smith Garrett-R Gerrit Holl John Kirkham Alexander Belopolsky Allan Haldane Jonathan Helmus Simon Conseil Christoph Gohlke gfyoung Dongjoon Hyun Eric Wieser Michael Seifert Raghav RV Shota Kawabuchi Ville Skyttä David Schaefer xoviat Stefan Winkler Keno Goertz Lakshay Garg Marten H. van Kerkwijk Kritika Jalan mattip Roman Yurchak Pierre Glaser MSeifert04 Ralf Gommers Jon Dufresne Seth Troisi Matti Picus Warren Weckesser Rakesh Vasudevan Takanori H Hugo jakobjakobson13 Constanza Ganesh Kathiresan Dimitri Papadopoulos Arun serge-sans-paille
numpy/ma/tests/test_extras.py, test_extras.py, 2007-12-15, 35, 95,  2007-12-15 2008-03-22 2008-04-20 2008-05-13 2008-05-14 2008-06-08 2008-06-17 2008-06-21 2008-07-02 2008-08-05 2008-08-07 2008-08-08 2008-09-18 2008-09-29 2008-12-02 2008-12-31 2009-01-19 2009-04-13 2009-07-08 2009-07-18 2009-07-20 2009-08-06 2010-02-20 2010-05-16 2010-07-07 2010-08-09 2010-08-11 2011-04-05 2011-12-06 2013-02-27 2013-03-27 2013-04-06 2013-02-20 2013-06-15 2013-08-18 2013-10-12 2014-03-06 2014-03-08 2014-05-30 2014-10-13 2015-01-13 2015-02-21 2015-03-15 2015-04-03 2015-05-06 2015-07-04 2015-10-08 2015-10-20 2015-11-07 2016-01-12 2016-01-16 2016-02-14 2016-05-01 2016-08-07 2016-07-11 2016-06-19 2016-08-30 2016-09-05 2016-09-07 2016-12-06 2016-12-23 2016-12-24 2017-01-17 2017-02-09 2017-02-27 2017-03-26 2017-05-04 2017-03-22 2017-05-05 2017-06-03 2017-07-17 2017-08-01 2017-12-11 2017-12-15 2018-01-09 2018-01-10 2018-01-18 2018-03-25 2018-02-16 2018-04-04 2018-04-26 2018-05-22 2018-12-06 2019-01-06 2019-07-01 2019-11-27 2019-08-27 2020-01-05 2020-04-25 2021-05-12 2021-12-02,  Stefan van der Walt pierregm Jarrod Millman Alan McIntyre Robert Cimrman Charles Harris Julien Phalip Warren Weckesser Marten van Kerkwijk Albert Lev Abalkin Julian Taylor Simon Gibbons Matthew Brett Daniel da Silva Christian Brodbeck Jonathan Helmus Stephan Hoyer Allan Haldane Amit Aronovitch Shota Kawabuchi Joseph Fox-Rabinovitz Sebastian Berg Loïc Estève Eric Wieser B R S Recht lzkelley Anas Khan Roman Yurchak mattip MSeifert04 Jon Dufresne RenaRuirui Laura Martens Ivan Gonzalez
None, test_morestats.py, 2007-12-15, 2, 3,  2007-12-15 2008-04-25,  Stefan van der Walt pierregm
numpy/ma/tests/test_mrecords.py, test_mrecords.py, 2007-12-15, 17, 61,  2007-12-15 2008-02-01 2008-04-14 2008-04-20 2008-05-14 2008-05-16 2008-05-22 2008-05-29 2008-06-03 2008-06-08 2008-06-17 2008-06-21 2008-07-17 2008-07-20 2008-07-21 2008-08-08 2008-09-13 2008-09-19 2008-09-29 2008-10-18 2008-10-19 2008-12-23 2009-12-06 2010-02-20 2010-02-21 2011-04-05 2012-02-08 2012-12-03 2013-02-27 2013-03-27 2013-03-28 2013-04-06 2013-04-13 2013-07-11 2013-08-18 2013-10-12 2015-07-04 2015-12-24 2016-02-19 2016-06-19 2017-03-25 2017-07-17 2017-08-01 2018-04-04 2018-09-19 2018-12-06 2019-02-21 2019-08-27 2020-01-05 2021-02-16 2021-09-21 2021-09-22,  Stefan van der Walt pierregm Jarrod Millman Alan McIntyre Robert Kern Charles Harris Pauli Virtanen Mark Wiebe Michael Droettboom Marten van Kerkwijk Dongjoon Hyun Sebastian Berg Eric Wieser Pierre Glaser Roman Yurchak Jon Dufresne Dimitri Papadopoulos
None, test_mstats.py, 2007-12-15, 2, 5,  2007-12-15 2008-03-22 2008-04-07 2008-04-25,  Stefan van der Walt pierregm
numpy/ma/tests/test_subclassing.py, test_subclassing.py, 2007-12-15, 15, 41,  2007-12-15 2008-05-01 2008-06-17 2008-06-21 2008-07-22 2008-09-09 2008-09-29 2008-10-18 2008-12-31 2009-05-13 2010-02-20 2011-03-11 2013-02-27 2013-03-27 2013-04-06 2013-06-05 2013-07-11 2013-08-18 2013-10-12 2014-03-21 2014-04-04 2013-10-13 2015-07-04 2016-02-20 2016-11-01 2017-04-07 2017-07-17 2017-11-19 2018-03-25 2018-04-04 2018-04-26 2019-02-24 2019-08-27 2020-01-05 2020-04-01 2020-10-25 2021-03-19 2021-11-16 2022-01-07,  Stefan van der Walt pierregm Alan McIntyre Jarrod Millman Charles Harris rgommers Julian Taylor Marten van Kerkwijk saurabh Eric Wieser Alex Watt Jon Dufresne Mike Taves jakobjakobson13 Greg Lucas
numpy/ma/testutils.py, testutils.py, 2007-12-15, 12, 36,  2007-12-15 2008-04-20 2008-04-30 2008-05-22 2008-06-03 2008-06-17 2008-07-01 2008-07-17 2008-08-08 2008-09-13 2008-09-29 2008-12-22 2008-12-23 2009-12-07 2010-08-09 2011-01-17 2011-01-27 2011-04-05 2013-02-27 2013-03-27 2013-04-06 2015-07-04 2015-07-05 2016-01-12 2016-01-16 2016-06-19 2017-05-07 2017-07-04 2018-02-28 2018-04-04 2019-08-27 2020-10-25 2020-12-05,  Stefan van der Walt Jarrod Millman pierregm Alan McIntyre mdroe Mark Wiebe Charles Harris Stephan Hoyer Sebastian Berg xoviat Jon Dufresne jakobjakobson13
numpy/ma/tests/test_old_ma.py, test_old_ma.py, 2007-12-15, 23, 56,  2007-12-15 2007-12-16 2007-12-21 2008-02-07 2008-03-23 2008-04-07 2008-04-23 2008-05-21 2008-06-17 2008-06-21 2008-07-21 2008-08-08 2008-09-09 2010-02-20 2010-02-21 2010-03-18 2011-04-05 2011-06-29 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-04-13 2013-06-05 2013-07-11 2013-08-18 2013-10-12 2014-05-10 2014-06-29 2015-07-04 2015-12-19 2015-12-20 2016-02-19 2016-06-19 2017-01-17 2017-04-13 2017-07-17 2018-04-04 2018-01-02 2018-09-19 2018-12-06 2019-02-21 2017-12-28 2019-07-01 2019-08-27 2020-01-05 2020-10-25 2021-06-12 2021-06-14 2021-08-23,  Stefan van der Walt pierregm Charles Harris Alan McIntyre Jarrod Millman Pauli Virtanen Mark Wiebe Julian Taylor Marten van Kerkwijk gfyoung Dongjoon Hyun Sebastian Berg John Kirkham Eric Wieser Marten H. van Kerkwijk Pierre Glaser Roman Yurchak MSeifert04 Jon Dufresne jakobjakobson13 ImenRajhi iameskild Clément Robert
numpy/lib/tests/test_format.py, test_format.py, 2007-12-16, 32, 77,  2007-12-16 2007-12-20 2008-01-02 2008-02-08 2008-06-17 2008-06-21 2008-07-03 2008-07-22 2008-08-13 2008-09-01 2008-09-02 2009-12-28 2010-02-20 2011-03-01 2011-04-05 2011-07-07 2013-02-27 2013-03-27 2013-03-28 2013-04-06 2013-08-18 2013-09-02 2013-09-28 2013-11-08 2013-11-09 2013-12-08 2013-12-09 2013-12-11 2014-01-11 2014-01-14 2014-06-02 2014-07-30 2014-08-27 2014-10-12 2015-03-07 2015-03-08 2015-03-24 2015-04-17 2015-11-15 2015-12-19 2016-05-02 2016-05-15 2016-05-16 2016-12-08 2017-03-25 2017-06-03 2017-09-14 2018-01-06 2018-03-25 2018-04-04 2018-05-13 2018-07-07 2018-09-13 2018-09-21 2018-11-09 2018-11-13 2018-12-06 2019-01-30 2019-04-30 2019-05-02 2019-05-07 2019-05-05 2019-12-02 2019-08-27 2020-01-08 2020-01-28 2020-07-28 2020-11-11 2021-03-19 2021-10-08,  Robert Kern Travis Oliphant Jarrod Millman Alan McIntyre David Cournapeau Paul Ivanov Pauli Virtanen rgommers Charles Harris Mark Wiebe Julian Taylor Luke Carmichael Max Sperlich Matthew Brett Blake Griffith Evgeni Burovski gfyoung drasmuss Ralf Gommers Alexandr Shadchin Eric Wieser John Zwinck xoviat mattip Roman Yurchak Tyler Reddy Matti Picus Jon Dufresne Seth Troisi Sha Liu Mike Taves Alessia Marcolini
numpy/lib/tests/test__datasource.py, test__datasource.py, 2008-02-12, 15, 38,  2008-02-12 2008-04-17 2008-04-19 2008-04-20 2008-06-17 2008-06-21 2008-07-03 2008-08-08 2008-09-09 2010-02-20 2011-03-01 2013-02-26 2013-02-27 2013-03-27 2013-03-28 2013-04-06 2013-04-11 2013-04-14 2013-09-02 2014-07-30 2015-11-15 2017-03-25 2017-07-17 2018-04-04 2018-08-10 2018-08-15 2018-09-21 2018-11-13 2019-08-27 2020-01-05 2020-01-08 2020-01-23 2021-09-02,  chris.burns Robert Kern Pauli Virtanen Jarrod Millman Alan McIntyre rgommers Charles Harris Evgeni Burovski Eric Wieser Elliott Sales de Andrade Tyler Reddy Jon Dufresne Seth Troisi Warren Weckesser Mike Taves
numpy/core/tests/test_memmap.py, test_memmap.py, 2008-02-21, 24, 49,  2008-02-21 2008-02-22 2008-03-11 2008-06-17 2008-06-21 2008-08-08 2008-08-24 2008-12-31 2010-04-12 2010-04-13 2010-08-08 2011-03-06 2011-07-19 2012-02-08 2012-02-16 2012-07-03 2012-11-06 2012-11-13 2012-11-15 2013-02-27 2013-03-27 2013-04-06 2013-05-25 2013-08-18 2014-02-05 2014-02-16 2015-07-05 2015-07-22 2015-12-10 2016-03-10 2015-10-26 2016-06-19 2016-11-13 2017-01-03 2017-02-21 2017-07-17 2018-02-16 2018-03-25 2018-04-04 2018-06-11 2018-10-02 2019-04-11 2019-08-27 2020-01-05 2020-01-21 2020-07-28 2021-05-12,  chris.burns Stefan van der Walt Alan McIntyre Jarrod Millman Matthew Brett Pauli Virtanen Charles Harris rgommers Mark Wiebe Sveinung Gundersen Travis E. Oliphant Ondřej Čertík GaelVaroquaux Julian Taylor Loïc Estève Wendell Smith Sebastian Berg Ronan Lamy Eric Wieser mattip Tyler Reddy Jon Dufresne Seth Troisi Lisa
numpy/lib/tests/test_io.py, test_io.py, 2008-04-03, 70, 247,  2008-04-03 2008-04-04 2008-04-09 2008-04-12 2008-04-16 2008-04-20 2008-04-28 2008-06-17 2008-06-21 2008-07-13 2008-07-22 2008-08-08 2008-09-05 2008-09-09 2008-09-22 2008-11-20 2008-11-29 2008-12-27 2009-01-06 2009-01-19 2009-01-22 2009-01-26 2009-02-03 2009-02-05 2009-02-06 2009-02-14 2009-02-19 2009-02-22 2009-03-02 2009-03-09 2009-03-30 2009-05-27 2009-05-28 2009-07-04 2009-10-05 2009-10-06 2009-10-09 2009-10-12 2009-10-14 2009-10-16 2009-11-23 2009-12-08 2010-02-20 2010-02-21 2010-05-02 2010-05-13 2010-05-16 2010-07-17 2010-09-13 2010-10-13 2010-11-13 2011-01-16 2011-02-06 2011-03-29 2011-04-02 2011-04-03 2011-04-04 2011-04-05 2011-05-05 2011-05-06 2011-07-12 2011-07-28 2011-08-10 2011-07-31 2011-09-01 2011-09-02 2011-11-27 2012-02-08 2012-02-12 2012-02-21 2012-03-04 2012-05-02 2012-07-02 2012-07-05 2012-07-06 2012-07-10 2012-07-11 2012-07-16 2013-02-26 2013-02-27 2013-03-03 2013-03-05 2013-03-27 2013-03-28 2013-04-06 2013-04-13 2013-01-22 2013-01-31 2013-06-21 2013-07-11 2013-06-06 2013-08-18 2013-09-02 2013-10-20 2013-11-26 2014-02-05 2014-02-08 2013-11-25 2014-04-04 2014-06-03 2014-06-30 2014-08-15 2014-08-27 2014-11-18 2015-01-23 2014-09-21 2014-04-29 2014-10-31 2015-02-12 2015-03-05 2015-03-11 2015-04-22 2015-07-04 2015-07-25 2015-10-28 2015-12-10 2015-12-19 2015-12-24 2016-01-30 2015-11-09 2015-10-26 2016-05-15 2016-05-16 2016-08-06 2016-06-19 2015-11-05 2016-12-06 2016-12-08 2017-03-25 2017-07-17 2017-08-01 2015-07-28 2017-09-20 2017-04-03 2017-11-21 2018-01-04 2018-01-13 2018-01-31 2018-03-12 2018-02-28 2018-03-25 2018-04-04 2018-04-10 2018-04-12 2018-04-17 2018-04-23 2018-08-19 2018-09-06 2018-09-13 2018-09-17 2018-09-21 2018-09-16 2018-11-01 2018-11-22 2018-12-06 2019-04-03 2019-04-10 2019-04-11 2019-04-12 2019-01-30 2019-04-26 2018-11-20 2019-07-20 2019-08-11 2019-08-16 2019-08-26 2019-10-31 2019-11-11 2019-12-01 2019-12-04 2019-12-06 2019-08-27 2020-01-05 2020-01-08 2020-01-22 2020-01-21 2020-02-03 2020-03-18 2020-04-02 2020-04-10 2020-05-14 2020-05-28 2020-07-18 2020-07-28 2020-08-31 2020-09-11 2021-01-22 2021-01-24 2021-08-05 2021-08-16 2021-09-22 2021-12-03 2021-12-16 2021-12-13 2022-01-07 2022-01-06 2022-01-10 2022-01-11 2022-01-12 2022-01-13 2022-01-14 2022-01-19,  dhuard Robert Kern Stefan van der Walt Jarrod Millman Alan McIntyre Charles Harris David Cournapeau pierregm Travis Oliphant Pauli Virtanen Mark Wiebe Matthew Brett Christoph Gohlke Ralf Gommers Derek Homeir Derek Homeier Ben Walsh Paul Anton Letnes Chris Jordan-Squire Yaroslav Halchenko martingoodson cgohlke Bartosz Telenczuk Daniel Warren Weckesser Olivier Grisel Julian Taylor Yaron de Leeuw Daniel da Silva Wendell Smith styr Alan Briolat Thomas Robitaille Joseph Martinot-Lagarde Nathaniel J. Smith Sebastian Berg I--P mattip Matthias C. M. Troffaes gfyoung Alexandr Shadchin Eric Wieser Allan Haldane Nelle Varoquaux luz.paz Mathieu Sornay xoviat Raunak Shah Nicholas Nadeau, P.Eng., AVS Elliott Sales de Andrade Roman Yurchak Matti Picus Tyler Reddy mfkasim91 Paul Müller kritisingh1 Paul Ivanov Luis Pedro Coelho Maxwell Aladago Jon Dufresne Seth Troisi Anirudh Subramanian Antonio Larrosa Andrew Eckart Antony Lee Ross Barnowski Bas van Beek warren André Elimelek de Weber Ivan Gonzalez
None, test_financial.py, 2008-04-04, 15, 37,  2008-04-04 2008-04-08 2008-06-17 2008-06-21 2008-07-03 2008-07-24 2008-08-08 2009-08-25 2009-08-26 2010-03-31 2012-01-28 2012-04-29 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-05-22 2013-08-18 2013-09-02 2014-02-01 2014-07-30 2014-11-05 2015-02-17 2016-02-24 2017-07-17 2017-11-11 2018-04-04 2019-09-14 2019-10-15 2019-08-27 2020-01-05 2020-08-12,  Travis Oliphant Alan McIntyre Jarrod Millman Charles Harris David Cournapeau tim cera Tim Cera bebert218 Philip Eliot Fei Liu Simon Gibbons Garry Polley kai-striega Warren Weckesser Jon Dufresne
numpy/core/tests/test_machar.py, test_machar.py, 2008-04-29, 8, 18,  2008-04-29 2008-05-01 2008-06-17 2008-06-21 2009-09-16 2013-02-26 2013-02-27 2013-03-27 2013-04-06 2013-07-11 2015-07-22 2016-02-21 2017-07-17 2018-04-04 2019-12-18 2019-08-27 2020-01-05 2021-10-20,  David Cournapeau Stefan van der Walt Alan McIntyre Charles Harris Dongjoon Hyun Nico Schlömer Jon Dufresne Bas van Beek
None, test.c, 2008-05-26, 2, 2,  2008-05-26 2017-02-25,  David Cournapeau Charles Harris
numpy/lib/tests/test_stride_tricks.py, test_stride_tricks.py, 2008-07-03, 17, 33,  2008-07-03 2008-07-14 2011-04-05 2011-07-15 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2013-09-02 2014-02-26 2014-07-30 2014-04-15 2014-08-27 2015-01-14 2015-03-01 2015-01-28 2015-05-15 2015-07-25 2015-10-24 2016-01-21 2017-02-13 2017-05-09 2017-05-23 2018-03-23 2018-04-04 2018-08-01 2018-08-20 2019-06-28 2019-07-08 2019-08-27 2020-01-06 2020-10-17 2020-11-05,  Robert Kern Alan McIntyre Charles Harris Mark Wiebe Jay Bourque Marten van Kerkwijk Stephan Hoyer jaimefrio Sebastian Berg Eric Wieser Ville Skyttä Antoine Pitrou Tyler Reddy Matti Picus Jon Dufresne madhulikajc Klaus Zimmermann
numpy/core/tests/test_defchararray.py, test_defchararray.py, 2008-07-10, 16, 41,  2008-07-10 2008-08-08 2009-03-02 2009-10-12 2009-10-13 2009-10-14 2009-10-19 2009-10-28 2010-02-20 2010-02-21 2011-04-05 2012-04-05 2013-02-27 2013-03-27 2013-04-06 2013-04-17 2013-04-21 2013-08-18 2014-02-03 2013-12-05 2015-06-18 2015-07-05 2015-07-22 2015-12-10 2017-03-25 2017-07-17 2017-07-29 2018-04-04 2018-09-13 2019-08-27 2020-01-05 2020-01-08 2020-01-23 2020-02-03 2020-08-09,  Alan McIntyre Jarrod Millman David Cournapeau mdroe Pauli Virtanen Charles Harris Ralf Gommers Julian Taylor Sebastian Berg Erik M. Bray Eric Wieser Roman Yurchak Jon Dufresne Seth Troisi Warren Weckesser Bas van Beek
numpy/core/tests/test_print.py, test_print.py, 2008-07-12, 15, 63,  2008-07-12 2008-12-29 2008-12-30 2009-01-08 2009-01-09 2009-01-12 2009-03-10 2009-10-15 2009-12-06 2010-05-13 2011-03-22 2011-03-26 2012-05-02 2013-02-26 2013-02-27 2013-03-27 2013-03-28 2013-04-06 2013-04-21 2013-08-18 2015-07-05 2015-07-22 2015-11-15 2016-12-08 2017-08-01 2017-10-29 2018-01-06 2018-03-21 2018-03-25 2018-04-04 2018-05-07 2018-09-07 2018-09-21 2019-08-27 2020-01-08,  Charles Harris David Cournapeau Pauli Virtanen chanley Mark Wiebe Evgeni Burovski Alexandr Shadchin Eric Wieser Allan Haldane xoviat mattip Elliott Sales de Andrade Tyler Reddy Jon Dufresne Seth Troisi
None, test_blasdot.py, 2008-08-04, 8, 18,  2008-08-04 2010-09-11 2010-11-12 2012-11-12 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-06-04 2013-08-18 2013-07-22 2014-09-04 2014-08-13 2014-08-16 2014-08-17 2014-08-20 2014-08-22,  David Cournapeau Pauli Virtanen Luis Pedro Coelho Nicolas Scheffer Charles Harris Warren Weckesser Blake Griffith Julian Taylor
tools/swig/test/testFortran.py, testFortran.py, 2008-08-12, 9, 15,  2008-08-12 2008-08-23 2013-02-27 2013-03-11 2013-03-27 2013-04-06 2013-08-18 2014-03-12 2015-02-15 2015-12-19 2015-12-20 2019-04-23 2019-08-27 2020-02-05 2020-03-04,  Stefan van der Walt Charles Harris Bill Spotz Chris Lamb gfyoung Nicola Soranzo Jon Dufresne Mike Taves Changqing Li
numpy/lib/tests/test_arrayterator.py, test_arrayterator.py, 2008-08-13, 5, 10,  2008-08-13 2009-08-28 2010-02-20 2011-04-05 2013-02-27 2013-03-27 2013-04-06 2018-04-04 2019-08-27,  Stefan van der Walt Travis Oliphant Pauli Virtanen Charles Harris Jon Dufresne
None, test_build.py, 2008-11-08, 9, 23,  2008-11-08 2010-02-21 2011-04-05 2012-03-10 2013-02-27 2013-03-27 2013-04-06 2014-02-15 2014-09-04 2015-07-25 2017-03-25 2017-07-17 2018-03-25 2018-04-04 2019-08-27 2020-01-05 2020-10-24 2021-01-31 2021-11-25,  David Cournapeau Pauli Virtanen Charles Harris Julian Taylor Eric Wieser Jon Dufresne Jakob tautaus H. Vetinari
None, test_docscrape.py, 2008-11-30, 4, 17,  2008-11-30 2009-05-21 2009-11-13 2010-10-01 2012-09-25 2012-12-09 2013-02-16 2013-02-27 2013-03-27 2013-04-06 2013-04-17 2013-05-01 2013-06-25 2013-07-24,  Pauli Virtanen endolith Charles Harris Rob Ruana
numpy/lib/tests/test__iotools.py, test__iotools.py, 2009-01-19, 11, 41,  2009-01-19 2009-02-04 2009-02-05 2009-02-14 2009-10-09 2009-10-12 2009-10-14 2009-10-20 2010-02-20 2010-09-13 2011-04-02 2011-04-05 2013-02-27 2013-03-27 2013-03-28 2013-04-06 2013-04-11 2013-09-02 2014-07-30 2014-11-29 2015-01-23 2015-03-05 2017-03-25 2017-07-17 2017-08-01 2017-04-03 2017-11-19 2017-11-21 2018-04-04 2018-05-30 2018-11-24 2018-12-06 2019-07-03 2019-08-27 2020-01-05 2020-03-26 2020-05-14,  pierregm Charles Harris Pauli Virtanen Garrett-R Thomas Robitaille Eric Wieser Julian Taylor Allan Haldane Roman Yurchak Sebastian Berg Jon Dufresne
